Comerica Quarterly Net Income (Millions of US $),Comerica Quarterly Net Income (Millions of US $).1
2024-12-31,$163
2024-09-30,$177
2024-06-30,$200
2024-03-31,$131
2023-12-31,$27
2023-09-30,$244
2023-06-30,$266
2023-03-31,$317
2022-12-31,$342
2022-09-30,$343
2022-06-30,$255
2022-03-31,$182
2021-12-31,$221
2021-09-30,$255
2021-06-30,$321
2021-03-31,$343
2020-12-31,$215
2020-09-30,$209
2020-06-30,$117
2020-03-31,$-59
2019-12-31,$271
2019-09-30,$290
2019-06-30,$297
2019-03-31,$337
2018-12-31,$308
2018-09-30,$316
2018-06-30,$324
2018-03-31,$279
2017-12-31,$112
2017-09-30,$224
2017-06-30,$202
2017-03-31,$200
2016-12-31,$163
2016-09-30,$148
2016-06-30,$103
2016-03-31,$59
2015-12-31,$115
2015-09-30,$134
2015-06-30,$134
2015-03-31,$132
2014-12-31,$148
2014-09-30,$152
2014-06-30,$149
2014-03-31,$137
2013-12-31,$115
2013-09-30,$145
2013-06-30,$141
2013-03-31,$132
2012-12-31,$129
2012-09-30,$116
2012-06-30,$141
2012-03-31,$129
2011-12-31,$95
2011-09-30,$97
2011-06-30,$95
2011-03-31,$102
2010-12-31,$96
2010-09-30,$59
2010-06-30,$69
2010-03-31,$-71
2009-12-31,$-62
2009-09-30,$-16
2009-06-30,$-16
2009-03-31,$-24
