Hain Celestial Quarterly Net Income (Millions of US $),Hain Celestial Quarterly Net Income (Millions of US $).1
2024-12-31,$-104
2024-09-30,$-20
2024-06-30,$-3
2024-03-31,$-48
2023-12-31,$-14
2023-09-30,$-10
2023-06-30,$-19
2023-03-31,$-116
2022-12-31,$11
2022-09-30,$7
2022-06-30,$3
2022-03-31,$25
2021-12-31,$31
2021-09-30,$19
2021-06-30,$40
2021-03-31,$34
2020-12-31,$2
2020-09-30,$0
2020-06-30,$3
2020-03-31,$24
2019-12-31,$-1
2019-09-30,$-107
2019-06-30,$-14
2019-03-31,$-66
2018-12-31,$-67
2018-09-30,$-37
2018-06-30,$-70
2018-03-31,$13
2017-12-31,$47
2017-09-30,$20
2017-06-30,$0
2017-03-31,$31
2016-12-31,$27
2016-09-30,$9
2016-06-30,$-89
2016-03-31,$49
2015-12-31,$58
2015-09-30,$29
2015-06-30,$68
2015-03-31,$33
2014-12-31,$45
2014-09-30,$19
2014-06-30,$26
2014-03-31,$35
2013-12-31,$41
2013-09-30,$28
2013-06-30,$26
2013-03-31,$41
2012-12-31,$32
2012-09-30,$16
2012-06-30,$23
2012-03-31,$24
2011-12-31,$20
2011-09-30,$12
2011-06-30,$13
2011-03-31,$17
2010-12-31,$16
2010-09-30,$9
2010-06-30,$7
2010-03-31,$3
2009-12-31,$11
2009-09-30,$8
2009-06-30,$1
2009-03-31,$-41
