Adaptimmune Therapeutics Quarterly Net Income (Millions of US $),Adaptimmune Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$-18
2024-06-30,$70
2024-03-31,$-49
2023-12-31,$-48
2023-09-30,$-46
2023-06-30,$-21
2023-03-31,$1
2022-12-31,$-29
2022-09-30,$-41
2022-06-30,$-45
2022-03-31,$-50
2021-12-31,$-39
2021-09-30,$-42
2021-06-30,$-39
2021-03-31,$-38
2020-12-31,$-37
2020-09-30,$-35
2020-06-30,$-30
2020-03-31,$-28
2019-12-31,$-29
2019-09-30,$-39
2019-06-30,$-41
2019-03-31,$-27
2018-12-31,$-36
2018-09-30,$5
2018-06-30,$-44
2018-03-31,$-21
2017-12-31,$-27
2017-09-30,$-1
2017-06-30,$-20
2017-03-31,$-22
2016-12-31,$-15
2016-09-30,$-18
2016-06-30,$-22
2016-03-31,$-16
2015-12-31,
2015-09-30,$-6
2015-06-30,$-17
2015-03-31,$-8
2014-12-31,
2014-06-30,
