Tilly's Quarterly Net Income (Millions of US $),Tilly's Quarterly Net Income (Millions of US $).1
2024-10-31,$-13
2024-07-31,$-0
2024-04-30,$-20
2024-01-31,$-21
2023-10-31,$-1
2023-07-31,$-1
2023-04-30,$-12
2023-01-31,$-0
2022-10-31,$5
2022-07-31,$4
2022-04-30,$1
2022-01-31,$12
2021-10-31,$21
2021-07-31,$20
2021-04-30,$11
2021-01-31,$9
2020-10-31,$2
2020-07-31,$5
2020-04-30,$-17
2020-01-31,$6
2019-10-31,$6
2019-07-31,$9
2019-04-30,$1
2019-01-31,$9
2018-10-31,$5
2018-07-31,$10
2018-04-30,$1
2018-01-31,$7
2017-10-31,$9
2017-07-31,$-1
2017-04-30,$-0
2017-01-31,$6
2016-10-31,$6
2016-07-31,$1
2016-04-30,$-3
2016-01-31,$3
2015-10-31,$3
2015-07-31,$1
2015-04-30,$1
2015-01-31,$7
2014-10-31,$5
2014-07-31,$1
2014-04-30,$1
2014-01-31,$5
2013-10-31,$6
2013-07-31,$4
2013-04-30,$2
2013-01-31,$10
2012-10-31,$9
2012-07-31,$-1
2012-04-30,$6
2012-01-31,$14
2011-10-31,$12
2011-07-31,$3
2011-04-30,$5
2011-01-31,
2010-01-31,
