"CONCRETE PUMPING HOLDINGS, INC Quarterly Net Income (Millions of US $)","CONCRETE PUMPING HOLDINGS, INC Quarterly Net Income (Millions of US $).1"
2025-01-31,$-3
2024-10-31,$9
2024-07-31,$7
2024-04-30,$3
2024-01-31,$-4
2023-10-31,$9
2023-07-31,$10
2023-04-30,$5
2023-01-31,$6
2022-10-31,$8
2022-07-31,$13
2022-04-30,$6
2022-01-31,$1
2021-10-31,$3
2021-07-31,$4
2021-04-30,$-11
2021-01-31,$-13
2020-10-31,$-4
2020-07-31,$-0
2020-04-30,$-56
2020-01-31,$-3
2019-10-31,$-6
2019-07-31,$2
2019-04-30,$-10
2019-01-31,$-27
2018-12-31,$-5
2018-10-31,$23
2018-09-30,$-3
2018-07-31,$3
2018-06-30,$0
2018-04-30,$3
2018-03-31,$0
2018-01-31,$13
2017-12-31,
2017-09-30,$0
2017-07-31,$0
