Cambium Networks Quarterly Net Income (Millions of US $),Cambium Networks Quarterly Net Income (Millions of US $).1
2024-09-30,$-10
2024-06-30,$-9
2024-03-31,$-26
2023-12-31,$-53
2023-09-30,$-26
2023-06-30,$-3
2023-03-31,$4
2022-12-31,$10
2022-09-30,$9
2022-06-30,$2
2022-03-31,$-2
2021-12-31,$1
2021-09-30,$5
2021-06-30,$12
2021-03-31,$20
2020-12-31,$11
2020-09-30,$6
2020-06-30,$3
2020-03-31,$-1
2019-12-31,$-1
2019-09-30,$2
2019-06-30,$-20
2019-03-31,$2
2018-12-31,
2018-09-30,$-3
2018-06-30,$1
2017-12-31,
