Amarin Quarterly Net Income (Millions of US $),Amarin Quarterly Net Income (Millions of US $).1
2024-12-31,$-49
2024-09-30,$-25
2024-06-30,$2
2024-03-31,$-10
2023-12-31,$-6
2023-09-30,$-19
2023-06-30,$-18
2023-03-31,$-16
2022-12-31,$1
2022-09-30,$-5
2022-06-30,$-70
2022-03-31,$-32
2021-12-31,$15
2021-09-30,$-13
2021-06-30,$8
2021-03-31,$-2
2020-12-31,$5
2020-09-30,$-7
2020-06-30,$4
2020-03-31,$-21
2019-12-31,$7
2019-09-30,$-3
2019-06-30,$-2
2019-03-31,$-24
2018-12-31,$-34
2018-09-30,$-24
2018-06-30,$-34
2018-03-31,$-24
2017-12-31,$-22
2017-09-30,$-11
2017-06-30,$-14
2017-03-31,$-21
2016-12-31,$-27
2016-09-30,$-16
2016-06-30,$-13
2016-03-31,$-30
2015-12-31,$-22
2015-09-30,$-32
2015-06-30,$-63
2015-03-31,$-32
2014-12-31,$-20
2014-09-30,$-26
2014-06-30,$15
2014-03-31,$-26
2013-12-31,$-15
2013-09-30,$-49
2013-06-30,$-40
2013-03-31,$-62
2012-12-31,$-11
2012-09-30,$-26
2012-06-30,$-54
2012-03-31,$-88
2011-12-31,$18
2011-09-30,$96
2011-06-30,$-202
2011-03-31,$18
2010-12-31,$-188
2010-09-30,$-11
2010-06-30,$41
2010-03-31,$-9
2009-12-31,
