Heritage Insurance Holdings Quarterly Net Income (Millions of US $),Heritage Insurance Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$20
2024-09-30,$8
2024-06-30,$19
2024-03-31,$14
2023-12-31,$31
2023-09-30,$-7
2023-06-30,$8
2023-03-31,$14
2022-12-31,$13
2022-09-30,$-48
2022-06-30,$-88
2022-03-31,$-31
2021-12-31,$-49
2021-09-30,$-16
2021-06-30,$-4
2021-03-31,$-5
2020-12-31,$3
2020-09-30,$-5
2020-06-30,$4
2020-03-31,$8
2019-12-31,$13
2019-09-30,$8
2019-06-30,$1
2019-03-31,$7
2018-12-31,$4
2018-09-30,$6
2018-06-30,$2
2018-03-31,$15
2017-12-31,$-5
2017-09-30,$-9
2017-06-30,$7
2017-03-31,$6
2016-12-31,$-3
2016-09-30,$11
2016-06-30,$18
2016-03-31,$7
2015-12-31,$20
2015-09-30,$17
2015-06-30,$25
2015-03-31,$30
2014-12-31,$20
2014-09-30,$10
2014-06-30,$10
2014-03-31,$8
2013-12-31,
2013-09-30,$5
2013-06-30,$21
2012-12-31,
