Oportun Financial Quarterly Net Income (Millions of US $),Oportun Financial Quarterly Net Income (Millions of US $).1
2024-12-31,$9
2024-09-30,$-30
2024-06-30,$-31
2024-03-31,$-26
2023-12-31,$-42
2023-09-30,$-21
2023-06-30,$-15
2023-03-31,$-102
2022-12-31,$-8
2022-09-30,$-106
2022-06-30,$-9
2022-03-31,$46
2021-12-31,$14
2021-09-30,$23
2021-06-30,$7
2021-03-31,$3
2020-12-31,$9
2020-09-30,$-6
2020-06-30,$-34
2020-03-31,$-13
2019-12-31,$28
2019-09-30,$-27
2019-06-30,$2
2019-03-31,$2
2018-12-31,
2018-09-30,$3
2017-12-31,
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
