"PURPLE INNOVATION, INC Quarterly Net Income (Millions of US $)","PURPLE INNOVATION, INC Quarterly Net Income (Millions of US $).1"
2024-12-31,$-8
2024-09-30,$-39
2024-06-30,$0
2024-03-31,$-50
2023-12-31,$-18
2023-09-30,$-36
2023-06-30,$-40
2023-03-31,$-26
2022-12-31,$-73
2022-09-30,$2
2022-06-30,$-8
2022-03-31,$-14
2021-12-31,$-22
2021-09-30,$2
2021-06-30,$3
2021-03-31,$21
2020-12-31,$-73
2020-09-30,$-87
2020-06-30,$-93
2020-03-31,$17
2019-12-31,$-23
2019-09-30,$2
2019-06-30,$-1
2019-03-31,$-0
2018-12-31,$-1
2018-09-30,$-1
2018-06-30,$-1
2018-03-31,$-2
2017-12-31,$-5
2017-09-30,$-5
2017-06-30,$4
2017-03-31,$-2
2016-12-31,$-2
2016-09-30,$-0
2016-06-30,$-0
2016-03-31,$-0
2015-12-31,
2015-09-30,$-0
