IHeartMedia Quarterly Net Income (Millions of US $),IHeartMedia Quarterly Net Income (Millions of US $).1
2024-12-31,$31
2024-09-30,$-41
2024-06-30,$-982
2024-03-31,$-19
2023-12-31,$13
2023-09-30,$-9
2023-06-30,$-884
2023-03-31,$-222
2022-12-31,$80
2022-09-30,$-310
2022-06-30,$14
2022-03-31,$-49
2021-12-31,$112
2021-09-30,$3
2021-06-30,$-32
2021-03-31,$-242
2020-12-31,$3
2020-09-30,$-32
2020-06-30,$-197
2020-03-31,"$-1,689"
2019-12-31,$61
2019-09-30,$12
2019-06-30,"$11,337"
2019-03-31,$-114
2018-12-31,$215
2018-09-30,$70
2018-06-30,$-70
2018-03-31,$-417
2017-12-31,$417
2017-09-30,$-250
2017-06-30,$-176
2017-03-31,$-388
2016-12-31,$100
2016-09-30,$-35
2016-06-30,$-279
2016-03-31,$-88
2015-12-31,$-93
2015-09-30,$-222
2015-06-30,$-54
2015-03-31,$-385
2014-12-31,$-68
2014-09-30,$-115
2014-06-30,$-187
2014-03-31,$-424
2013-12-31,$-312
2013-09-30,$-102
2013-06-30,$7
2013-03-31,$-203
2012-12-31,$-191
2012-09-30,$-51
2012-06-30,$-39
2012-03-31,$-144
2011-12-31,$-43
2011-09-30,$-74
2011-06-30,$-53
2011-03-31,$-132
2010-12-31,$-69
2010-09-30,$-155
2010-06-30,$-86
2010-03-31,$-175
2009-12-31,$147
2009-09-30,$-90
2009-06-30,"$-3,673"
2009-03-31,$-418
