Beyond Meat Quarterly Net Income (Millions of US $),Beyond Meat Quarterly Net Income (Millions of US $).1
2024-12-31,$-45
2024-09-30,$-27
2024-06-30,$-34
2024-03-31,$-54
2023-12-31,$-155
2023-09-30,$-70
2023-06-30,$-54
2023-03-31,$-59
2022-12-31,$-67
2022-09-30,$-102
2022-06-30,$-97
2022-03-31,$-100
2021-12-31,$-80
2021-09-30,$-55
2021-06-30,$-20
2021-03-31,$-27
2020-12-31,$-25
2020-09-30,$-19
2020-06-30,$-10
2020-03-31,$2
2019-12-31,$-0
2019-09-30,$4
2019-06-30,$-9
2019-03-31,$-7
2018-12-31,$-7
2018-09-30,$-9
2018-06-30,$-7
2018-03-31,$-6
2017-12-31,
2016-12-31,
