Adaptive Biotechnologies Quarterly Net Income (Millions of US $),Adaptive Biotechnologies Quarterly Net Income (Millions of US $).1
2024-12-31,$-34
2024-09-30,$-32
2024-06-30,$-46
2024-03-31,$-48
2023-12-31,$-69
2023-09-30,$-50
2023-06-30,$-48
2023-03-31,$-58
2022-12-31,$-40
2022-09-30,$-45
2022-06-30,$-52
2022-03-31,$-63
2021-12-31,$-61
2021-09-30,$-56
2021-06-30,$-49
2021-03-31,$-41
2020-12-31,$-45
2020-09-30,$-37
2020-06-30,$-34
2020-03-31,$-31
2019-12-31,$-21
2019-09-30,$-14
2019-06-30,$-16
2019-03-31,$-19
2018-12-31,
2018-09-30,$-8
2018-06-30,$-12
2017-12-31,
