MeiraGTx Holdings Quarterly Net Income (Millions of US $),MeiraGTx Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-39
2024-09-30,$-39
2024-06-30,$-49
2024-03-31,$-20
2023-12-31,$20
2023-09-30,$-44
2023-06-30,$-30
2023-03-31,$-30
2022-12-31,$-27
2022-09-30,$-37
2022-06-30,$-34
2022-03-31,$-31
2021-12-31,$-10
2021-09-30,$-26
2021-06-30,$-20
2021-03-31,$-24
2020-12-31,$-10
2020-09-30,$-6
2020-06-30,$-25
2020-03-31,$-16
2019-12-31,$-5
2019-09-30,$-10
2019-06-30,$-21
2019-03-31,$-18
2018-12-31,$-21
2018-09-30,$-15
2018-06-30,$-31
2018-03-31,$-17
2017-12-31,$-9
2017-09-30,$-9
2017-06-30,$-7
2017-03-31,$-7
2016-12-31,
