Iterum Therapeutics Quarterly Net Income (Millions of US $),Iterum Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-7
2024-09-30,$-6
2024-06-30,$-5
2024-03-31,$-7
2023-12-31,$-12
2023-09-30,$-4
2023-06-30,$-12
2023-03-31,$-10
2022-12-31,$-5
2022-09-30,$-29
2022-06-30,$-7
2022-03-31,$-4
2021-12-31,$-4
2021-09-30,$4
2021-06-30,$8
2021-03-31,$-99
2020-12-31,$-11
2020-09-30,$-12
2020-06-30,$-13
2020-03-31,$-16
2019-12-31,$-24
2019-09-30,$-31
2019-06-30,$-28
2019-03-31,$-21
2018-12-31,$-24
2018-09-30,$-25
2018-06-30,$-16
2018-03-31,$-12
2017-12-31,
2017-09-30,$-8
2017-06-30,$-6
2016-12-31,
