Urogen Pharma Quarterly Net Income (Millions of US $),Urogen Pharma Quarterly Net Income (Millions of US $).1
2024-12-31,$-38
2024-09-30,$-24
2024-06-30,$-33
2024-03-31,$-32
2023-12-31,$-26
2023-09-30,$-22
2023-06-30,$-24
2023-03-31,$-30
2022-12-31,$-29
2022-09-30,$-26
2022-06-30,$-27
2022-03-31,$-28
2021-12-31,$-28
2021-09-30,$-30
2021-06-30,$-26
2021-03-31,$-26
2020-12-31,$-31
2020-09-30,$-29
2020-06-30,$-31
2020-03-31,$-38
2019-12-31,$-39
2019-09-30,$-22
2019-06-30,$-22
2019-03-31,$-21
2018-12-31,$-24
2018-09-30,$-21
2018-06-30,$-18
2018-03-31,$-13
2017-12-31,$-10
2017-09-30,$-0
2017-06-30,$-6
2017-03-31,$-3
2016-12-31,
2016-09-30,$-8
2016-06-30,$-3
2015-12-31,
