Ribbon Communications Quarterly Net Income (Millions of US $),Ribbon Communications Quarterly Net Income (Millions of US $).1
2024-12-31,$6
2024-09-30,$-13
2024-06-30,$-17
2024-03-31,$-30
2023-12-31,$7
2023-09-30,$-14
2023-06-30,$-21
2023-03-31,$-38
2022-12-31,$20
2022-09-30,$-18
2022-06-30,$-30
2022-03-31,$-70
2021-12-31,$-96
2021-09-30,$-59
2021-06-30,$23
2021-03-31,$-45
2020-12-31,$124
2020-09-30,$6
2020-06-30,$-8
2020-03-31,$-33
2019-12-31,$-150
2019-09-30,$2
2019-06-30,$49
2019-03-31,$-31
2018-12-31,$-2
2018-09-30,$-10
2018-06-30,$-20
2018-03-31,$-45
2017-12-31,$-16
2017-09-30,$3
2017-06-30,$-12
2017-03-31,$-11
2016-12-31,$-3
2016-09-30,$-4
2016-06-30,$-3
2016-03-31,$-5
2015-12-31,$5
2015-09-30,$-2
2015-06-30,$-15
2015-03-31,$-19
2014-12-31,$-2
2014-09-30,$-5
2014-06-30,$-5
2014-03-31,$-4
2013-12-31,$0
2013-09-30,$-4
2013-06-30,$-5
2013-03-31,$-14
2012-12-31,$-16
2012-09-30,$-16
2012-06-30,$-12
2012-03-31,$-6
2011-12-31,$4
2011-09-30,$2
2011-06-30,$-6
2011-03-31,$-12
2010-12-31,$11
2010-09-30,$-22
2010-06-30,$0
2010-03-31,$-0
2009-12-31,$10
2009-09-30,$-3
2009-06-30,$4
2009-03-31,$-16
