Zumiez Quarterly Net Income (Millions of US $),Zumiez Quarterly Net Income (Millions of US $).1
2025-01-31,$15
2024-10-31,$1
2024-07-31,$-1
2024-04-30,$-17
2024-01-31,$-33
2023-10-31,$-2
2023-07-31,$-9
2023-04-30,$-18
2023-01-31,$11
2022-10-31,$7
2022-07-31,$3
2022-04-30,$-0
2022-01-31,$38
2021-10-31,$31
2021-07-31,$24
2021-04-30,$26
2021-01-31,$43
2020-10-31,$29
2020-07-31,$25
2020-04-30,$-21
2020-01-31,$38
2019-10-31,$19
2019-07-31,$9
2019-04-30,$1
2019-01-31,$30
2018-10-31,$14
2018-07-31,$4
2018-04-30,$-3
2018-01-31,$20
2017-10-31,$12
2017-07-31,$-1
2017-04-30,$-4
2017-01-31,$18
2016-10-31,$11
2016-07-31,$-1
2016-04-30,$-2
2016-01-31,$13
2015-10-31,$10
2015-07-31,$3
2015-04-30,$3
2015-01-31,$18
2014-10-31,$16
2014-07-31,$7
2014-04-30,$2
2014-01-31,$27
2013-10-31,$12
2013-07-31,$5
2013-04-30,$2
2013-01-31,$23
2012-10-31,$13
2012-07-31,$2
2012-04-30,$5
2012-01-31,$19
2011-10-31,$14
2011-07-31,$3
2011-04-30,$2
2011-01-31,$15
2010-10-31,$12
2010-07-31,$-1
2010-04-30,$-2
2010-01-31,$9
2009-10-31,$5
2009-07-31,$-3
2009-04-30,$-2
2009-01-31,$6
