Ginkgo Bioworks Holdings Quarterly Net Income (Millions of US $),Ginkgo Bioworks Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-108
2024-09-30,$-56
2024-06-30,$-217
2024-03-31,$-166
2023-12-31,$-212
2023-09-30,$-303
2023-06-30,$-173
2023-03-31,$-205
2022-12-31,$-175
2022-09-30,$-670
2022-06-30,$-669
2022-03-31,$-591
2021-12-31,"$-1,601"
2021-09-30,$-102
2021-06-30,$-54
2021-03-31,$-74
2020-12-31,
2020-09-30,$-26
2019-12-31,
