Fulgent Genetics Quarterly Net Income (Millions of US $),Fulgent Genetics Quarterly Net Income (Millions of US $).1
2024-12-31,$-6
2024-09-30,$-15
2024-06-30,$-9
2024-03-31,$-13
2023-12-31,$-128
2023-09-30,$-13
2023-06-30,$-11
2023-03-31,$-15
2022-12-31,$-24
2022-09-30,$2
2022-06-30,$12
2022-03-31,$154
2021-12-31,$104
2021-09-30,$123
2021-06-30,$80
2021-03-31,$201
2020-12-31,$166
2020-09-30,$47
2020-06-30,$3
2020-03-31,$-2
2019-12-31,$-0
2019-09-30,$1
2019-06-30,$0
2019-03-31,$-2
2018-12-31,$-2
2018-09-30,$-1
2018-06-30,$-1
2018-03-31,$-2
2017-12-31,$-2
2017-09-30,$-1
2017-06-30,$-0
2017-03-31,$0
2016-12-31,$1
2016-09-30,$-1
2016-06-30,$-5
2016-03-31,$-1
2015-12-31,
2015-09-30,$0
2015-06-30,
2014-12-31,
