Robert Half Quarterly Net Income (Millions of US $),Robert Half Quarterly Net Income (Millions of US $).1
2024-12-31,$54
2024-09-30,$65
2024-06-30,$68
2024-03-31,$64
2023-12-31,$87
2023-09-30,$96
2023-06-30,$106
2023-03-31,$122
2022-12-31,$148
2022-09-30,$166
2022-06-30,$176
2022-03-31,$168
2021-12-31,$168
2021-09-30,$171
2021-06-30,$149
2021-03-31,$111
2020-12-31,$94
2020-09-30,$76
2020-06-30,$46
2020-03-31,$90
2019-12-31,$113
2019-09-30,$117
2019-06-30,$115
2019-03-31,$110
2018-12-31,$114
2018-09-30,$115
2018-06-30,$109
2018-03-31,$96
2017-12-31,$47
2017-09-30,$85
2017-06-30,$80
2017-03-31,$79
2016-12-31,$78
2016-09-30,$91
2016-06-30,$92
2016-03-31,$83
2015-12-31,$93
2015-09-30,$97
2015-06-30,$90
2015-03-31,$78
2014-12-31,$84
2014-09-30,$85
2014-06-30,$75
2014-03-31,$62
2013-12-31,$67
2013-09-30,$66
2013-06-30,$63
2013-03-31,$56
2012-12-31,$58
2012-09-30,$57
2012-06-30,$45
2012-03-31,$48
2011-12-31,$42
2011-09-30,$44
2011-06-30,$36
2011-03-31,$27
2010-12-31,$24
2010-09-30,$20
2010-06-30,$12
2010-03-31,$8
2009-12-31,$13
2009-09-30,$9
2009-06-30,$5
2009-03-31,$8
