Skillsoft Quarterly Net Income (Millions of US $),Skillsoft Quarterly Net Income (Millions of US $).1
2024-10-31,$-24
2024-07-31,$-40
2024-04-30,$-28
2024-01-31,$-245
2023-10-31,$-28
2023-07-31,$-32
2023-04-30,$-44
2023-01-31,$-53
2022-10-31,$-528
2022-07-31,$-121
2022-04-30,$-22
2022-01-31,$8
2021-10-31,$-43
2021-07-31,$-24
2021-04-30,$-37
2021-03-31,$42
2021-01-31,"$2,679"
2020-12-31,$-74
2020-10-31,"$3,230"
2020-09-30,$-0
2020-07-31,$-71
2020-06-30,$-0
2020-03-31,$-9
2020-01-31,$-849
2019-12-31,
2019-09-30,$0
2019-06-30,$-0
2019-04-30,$-0
