Allakos Quarterly Net Income (Millions of US $),Allakos Quarterly Net Income (Millions of US $).1
2024-12-31,$0
2024-09-30,$-18
2024-06-30,$-27
2024-03-31,$-71
2023-12-31,$-63
2023-09-30,$-46
2023-06-30,$-35
2023-03-31,$-42
2022-12-31,$-43
2022-09-30,$-31
2022-06-30,$-49
2022-03-31,$-197
2021-12-31,$-94
2021-09-30,$-63
2021-06-30,$-57
2021-03-31,$-56
2020-12-31,$-44
2020-09-30,$-42
2020-06-30,$-39
2020-03-31,$-28
2019-12-31,$-25
2019-09-30,$-22
2019-06-30,$-19
2019-03-31,$-20
2018-12-31,$-15
2018-09-30,$-11
2018-06-30,$-9
2018-03-31,$-8
2017-12-31,
2017-09-30,$-6
2017-06-30,$-5
2016-12-31,
