Build-A-Bear Workshop Quarterly Net Income (Millions of US $),Build-A-Bear Workshop Quarterly Net Income (Millions of US $).1
2024-10-31,$10
2024-07-31,$9
2024-04-30,$11
2024-01-31,$22
2023-10-31,$8
2023-07-31,$8
2023-04-30,$15
2023-01-31,$21
2022-10-31,$7
2022-07-31,$6
2022-04-30,$14
2022-01-31,$24
2021-10-31,$6
2021-07-31,$7
2021-04-30,$10
2021-01-31,$10
2020-10-31,$2
2020-07-31,$-14
2020-04-30,$-21
2020-01-31,$6
2019-10-31,$-6
2019-07-31,$-1
2019-04-30,$1
2019-01-31,$-10
2018-10-31,$-6
2018-07-31,$-2
2018-04-30,$0
2018-01-31,$4
2017-12-31,$7
2017-10-31,$-3
2017-09-30,$1
2017-07-31,$0
2017-06-30,$-2
2017-04-30,$3
2017-03-31,$3
2016-12-31,$-6
2016-09-30,$2
2016-06-30,$-4
2016-03-31,$4
2015-12-31,$24
2015-09-30,$1
2015-06-30,$-1
2015-03-31,$7
2014-12-31,$21
2014-09-30,$2
2014-06-30,$-4
2014-03-31,$5
2013-12-31,$11
2013-09-30,$-1
2013-06-30,$-6
2013-03-31,$0
2012-12-31,$-41
2012-09-30,$-4
2012-06-30,$-8
2012-03-31,$-1
2011-12-31,$-9
2011-09-30,$1
2011-06-30,$-7
2011-03-31,$-2
2010-12-31,$12
2010-09-30,$-1
2010-06-30,$-8
2010-03-31,$2
2009-12-31,$-12
2009-09-30,$-5
2009-06-30,$-6
2009-03-31,$-1
