Malibu Boats Quarterly Net Income (Millions of US $),Malibu Boats Quarterly Net Income (Millions of US $).1
2024-12-31,$2
2024-09-30,$-5
2024-06-30,$-19
2024-03-31,$-67
2023-12-31,$10
2023-09-30,$20
2023-06-30,$-17
2023-03-31,$52
2022-12-31,$35
2022-09-30,$35
2022-06-30,$48
2022-03-31,$53
2021-12-31,$30
2021-09-30,$27
2021-06-30,$34
2021-03-31,$34
2020-12-31,$21
2020-09-30,$21
2020-06-30,$6
2020-03-31,$23
2019-12-31,$17
2019-09-30,$16
2019-06-30,$19
2019-03-31,$21
2018-12-31,$14
2018-09-30,$11
2018-06-30,$12
2018-03-31,$16
2017-12-31,$-6
2017-09-30,$6
2017-06-30,$10
2017-03-31,$8
2016-12-31,$7
2016-09-30,$4
2016-06-30,$4
2016-03-31,$6
2015-12-31,$5
2015-09-30,$4
2015-06-30,$6
2015-03-31,$4
2014-12-31,$3
2014-09-30,$1
2014-06-30,$-4
2014-03-31,$-0
2013-12-31,
2013-09-30,
2013-06-30,$-4
2013-03-31,
2012-12-31,$4
2012-09-30,$1
2012-06-30,
2011-06-30,
