GameSquare Holdings Quarterly Net Income (Millions of US $),GameSquare Holdings Quarterly Net Income (Millions of US $).1
2024-09-30,$-5
2024-06-30,$-12
2024-03-31,$-5
2023-12-31,$-15
2023-09-30,$-5
2023-06-30,$-4
2023-03-31,$-4
2023-02-28,$-7
2022-12-31,$-16
2022-11-30,$-5
2022-09-30,$-4
2022-08-31,
2022-06-30,$-3
2022-05-31,$9
2022-02-28,$-7
2021-11-30,$-1
2021-08-31,
2021-05-31,$2
2021-03-31,$2
2021-02-28,$-21
2020-12-31,$-21
2020-11-30,$-6
2020-09-30,$-6
2020-08-31,
2020-06-30,$-12
2020-05-31,$-12
2020-03-31,$-12
