"Controladora Vuela Compania De Aviacion, S.A.B De C.V Quarterly Net Income (Millions of US $)","Controladora Vuela Compania De Aviacion, S.A.B De C.V Quarterly Net Income (Millions of US $).1"
2024-06-30,$10
2024-03-31,$33
2023-12-31,$112
2023-09-30,$-39
2023-06-30,$6
2023-03-31,$-71
2022-12-31,$-22
2022-09-30,$40
2022-06-30,$-49
2022-03-31,$-49
2021-06-30,$78
2021-03-31,$-36
2020-12-31,$29
2020-09-30,$-99
2020-06-30,$-71
2020-03-31,$-75
2019-12-31,$70
2019-09-30,$37
2019-06-30,$6
2019-03-31,$27
2018-12-31,$29
2018-09-30,$-6
2018-06-30,$2
2018-03-31,$-60
2017-12-31,$24
2017-09-30,$41
2017-06-30,$-28
2017-03-31,$-67
2016-12-31,$46
2016-09-30,$58
2016-06-30,$52
2016-03-31,$33
2015-12-31,$32
2015-09-30,$68
2015-06-30,$23
2015-03-31,$20
2014-12-31,$48
2014-09-30,$26
2014-06-30,$-6
2014-03-31,$-28
2013-12-31,$-7
2013-09-30,$20
2013-06-30,$13
2013-03-31,$-7
2012-12-31,$10
2012-09-30,$17
