Karyopharm Therapeutics Quarterly Net Income (Millions of US $),Karyopharm Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-31
2024-09-30,$-32
2024-06-30,$24
2024-03-31,$-37
2023-12-31,$-42
2023-09-30,$-35
2023-06-30,$-33
2023-03-31,$-34
2022-12-31,$-39
2022-09-30,$-36
2022-06-30,$-49
2022-03-31,$-41
2021-12-31,$39
2021-09-30,$-52
2021-06-30,$-54
2021-03-31,$-57
2020-12-31,$-43
2020-09-30,$-53
2020-06-30,$-46
2020-03-31,$-53
2019-12-31,$-49
2019-09-30,$-41
2019-06-30,$-43
2019-03-31,$-66
2018-12-31,$-58
2018-09-30,$-48
2018-06-30,$-34
2018-03-31,$-38
2017-12-31,$-39
2017-09-30,$-31
2017-06-30,$-29
2017-03-31,$-30
2016-12-31,$-27
2016-09-30,$-25
2016-06-30,$-30
2016-03-31,$-27
2015-12-31,$-29
2015-09-30,$-30
2015-06-30,$-33
2015-03-31,$-26
2014-12-31,$-26
2014-09-30,$-20
2014-06-30,$-16
2014-03-31,$-14
2013-12-31,$-12
2013-09-30,$-9
2013-06-30,$-7
2013-03-31,$-6
2012-12-31,
2012-09-30,$-4
2012-06-30,
2011-12-31,
