1-800 FLOWERS.COM Quarterly Net Income (Millions of US $),1-800 FLOWERS.COM Quarterly Net Income (Millions of US $).1
2024-12-31,$64
2024-09-30,$-34
2024-06-30,$-21
2024-03-31,$-17
2023-12-31,$63
2023-09-30,$-31
2023-06-30,$-23
2023-03-31,$-71
2022-12-31,$83
2022-09-30,$-34
2022-06-30,$-22
2022-03-31,$-23
2021-12-31,$88
2021-09-30,$-13
2021-06-30,$13
2021-03-31,$1
2020-12-31,$114
2020-09-30,$-10
2020-06-30,$10
2020-03-31,$-10
2019-12-31,$74
2019-09-30,$-15
2019-06-30,$-8
2019-03-31,$-8
2018-12-31,$69
2018-09-30,$-17
2018-06-30,$-8
2018-03-31,$-8
2017-12-31,$71
2017-09-30,$-13
2017-06-30,$8
2017-03-31,$-11
2016-12-31,$63
2016-09-30,$-16
2016-06-30,$-11
2016-03-31,$-9
2015-12-31,$62
2015-09-30,$-4
2015-06-30,$-11
2015-03-31,$-10
2014-12-31,$46
2014-09-30,$-4
2014-06-30,$3
2014-03-31,$-1
2013-12-31,$18
2013-09-30,$-5
2013-06-30,$-2
2013-03-31,$3
2012-12-31,$16
2012-09-30,$-5
2012-06-30,$2
2012-03-31,$-0
2011-12-31,$17
2011-09-30,$-1
2011-06-30,$-0
2011-03-31,$-3
2010-12-31,$14
2010-09-30,$-5
2010-06-30,$-5
2010-03-31,$-7
2009-12-31,$15
2009-09-30,$-7
2009-06-30,$-22
2009-03-31,$-66
