Nabors Industries Quarterly Net Income (Millions of US $),Nabors Industries Quarterly Net Income (Millions of US $).1
2024-12-31,$-32
2024-09-30,$-63
2024-06-30,$-40
2024-03-31,$-42
2023-12-31,$8
2023-09-30,$-57
2023-06-30,$-3
2023-03-31,$40
2022-12-31,$-66
2022-09-30,$-14
2022-06-30,$-85
2022-03-31,$-184
2021-12-31,$-114
2021-09-30,$-123
2021-06-30,$-196
2021-03-31,$-141
2020-12-31,$-112
2020-09-30,$-161
2020-06-30,$-152
2020-03-31,$-395
2019-12-31,$-267
2019-09-30,$-123
2019-06-30,$-208
2019-03-31,$-122
2018-12-31,$-188
2018-09-30,$-119
2018-06-30,$-202
2018-03-31,$-144
2017-12-31,$-116
2017-09-30,$-149
2017-06-30,$-133
2017-03-31,$-149
2016-12-31,$-336
2016-09-30,$-111
2016-06-30,$-185
2016-03-31,$-398
2015-12-31,$-164
2015-09-30,$-296
2015-06-30,$-37
2015-03-31,$124
2014-12-31,$-891
2014-09-30,$106
2014-06-30,$64
2014-03-31,$50
2013-12-31,$151
2013-09-30,$-105
2013-06-30,$-4
2013-03-31,$99
2012-12-31,$28
2012-09-30,$76
2012-06-30,$-73
2012-03-31,$134
2011-12-31,$-101
2011-09-30,$74
2011-06-30,$192
2011-03-31,$83
2010-12-31,$50
2010-09-30,$-40
2010-06-30,$44
2010-03-31,$40
2009-12-31,$-47
2009-09-30,$30
2009-06-30,$-193
2009-03-31,$125
