EnGene Holdings Quarterly Net Income (Millions of US $),EnGene Holdings Quarterly Net Income (Millions of US $).1
2025-01-31,$-25
2024-10-31,$-15
2024-07-31,$-14
2024-04-30,$-15
2024-01-31,$-11
2023-10-31,$-104
2023-09-30,$-0
2023-07-31,$-6
2023-06-30,$-1
2023-04-30,$-6
2023-03-31,$-0
2023-01-31,$-9
2022-12-31,
2022-10-31,$1
2022-09-30,$0
2022-07-31,$0
2022-06-30,$-0
2022-04-30,$-0
2022-03-31,$-0
2022-01-31,$-0
2021-09-30,
