Rubrik Quarterly Net Income (Millions of US $),Rubrik Quarterly Net Income (Millions of US $).1
2024-10-31,$-131
2024-07-31,$-177
2024-04-30,$-732
2024-01-31,$-97
2023-10-31,$-86
2023-07-31,$-81
2023-04-30,$-89
2023-01-31,
