Reviva Pharmaceuticals Holdings Quarterly Net Income (Millions of US $),Reviva Pharmaceuticals Holdings Quarterly Net Income (Millions of US $).1
2024-09-30,$-8
2024-06-30,$-8
2024-03-31,$-7
2023-12-31,$-9
2023-09-30,$-11
2023-06-30,$-12
2023-03-31,$-7
2022-12-31,$-12
2022-09-30,$-4
2022-06-30,$-5
2022-03-31,$-7
2021-12-31,$-4
2021-09-30,$-2
2021-06-30,$-2
2021-03-31,$-1
2020-12-31,$-3
2020-11-30,$-0
2020-09-30,$-1
2020-08-31,$-1
2020-06-30,$-1
2020-05-31,$-0
2020-03-31,$-1
2020-02-29,
2019-12-31,$-2
2019-11-30,$0
2019-08-31,$0
2019-05-31,$0
2019-02-28,
2018-12-31,$0
2018-11-30,$0
2018-08-31,$0
2018-06-30,$0
2018-05-31,$-0
2018-03-31,$-0
