Better Choice Quarterly Net Income (Millions of US $),Better Choice Quarterly Net Income (Millions of US $).1
2024-09-30,$2
2024-06-30,$3
2024-03-31,$-3
2023-12-31,$-15
2023-09-30,$-2
2023-06-30,$-3
2023-03-31,$-3
2022-12-31,$-24
2022-09-30,$-7
2022-06-30,$-4
2022-03-31,$-4
2021-12-31,$-5
2021-09-30,$-3
2021-06-30,$25
2021-03-31,$-13
2020-12-31,$-30
2020-09-30,$-2
2020-06-30,$-18
2020-03-31,$-9
2019-12-31,$-17
2019-09-30,$-6
2019-06-30,$-162
2019-03-31,$-3
2019-02-28,$-0
2018-12-31,$1
2018-11-30,$0
2018-09-30,$-1
2018-08-31,
2018-06-30,$-1
2018-05-31,$-5
2018-02-28,$-1
2017-11-30,$-0
2017-08-31,
2017-05-31,$-0
2017-02-28,$-1
2016-11-30,$-0
2016-08-31,
2016-05-31,$-0
2016-02-29,$-0
2015-11-30,$-0
2015-08-31,
2015-05-31,$-0
2015-02-28,$-0
2014-12-31,$-0
2014-11-30,$-0
2014-09-30,$-0
2014-08-31,
2014-06-30,$-0
2014-05-31,$-0
2014-03-31,$-0
2014-02-28,$-0
2013-09-30,
