Celcuity Quarterly Net Income (Millions of US $),Celcuity Quarterly Net Income (Millions of US $).1
2024-09-30,$-30
2024-06-30,$-24
2024-03-31,$-22
2023-12-31,$-19
2023-09-30,$-18
2023-06-30,$-15
2023-03-31,$-12
2022-12-31,$-12
2022-09-30,$-11
2022-06-30,$-10
2022-03-31,$-8
2021-12-31,$-7
2021-09-30,$-6
2021-06-30,$-14
2021-03-31,$-3
2020-12-31,$-3
2020-09-30,$-2
2020-06-30,$-2
2020-03-31,$-2
2019-12-31,$-2
2019-09-30,$-2
2019-06-30,$-2
2019-03-31,$-2
2018-12-31,$-2
2018-09-30,$-2
2018-06-30,$-2
2018-03-31,$-2
2017-12-31,$-2
2017-09-30,$-2
2017-06-30,$-2
2017-03-31,$-1
2016-12-31,
2016-09-30,$-1
2016-06-30,$-1
2015-12-31,
