Mercurity Fintech Holding Quarterly Net Income (Millions of US $),Mercurity Fintech Holding Quarterly Net Income (Millions of US $).1
2024-06-30,
2021-12-31,$-4
2021-09-30,$-2
2021-06-30,$-11
2021-03-31,$-5
2020-12-31,$-1
2020-09-30,$-1
2020-06-30,$-1
2020-03-31,$1
2019-09-30,$0
2018-12-31,$-42
2018-09-30,$-2
2018-06-30,$-77
2018-03-31,$-3
2017-12-31,$-147
2017-09-30,$-4
2017-06-30,$-5
2017-03-31,$-5
2016-12-31,$-8
2016-09-30,$-7
2016-06-30,$-5
2016-03-31,$-4
2015-12-31,
2015-06-30,$-15
2015-03-31,$-7
2014-12-31,
2014-03-31,$-10
2013-12-31,
