Nordic American Tankers Quarterly Net Income (Millions of US $),Nordic American Tankers Quarterly Net Income (Millions of US $).1
2024-09-30,$9
2024-06-30,$22
2024-03-31,$15
2023-12-31,$18
2023-09-30,$7
2023-06-30,$27
2023-03-31,$47
2022-12-31,$36
2022-09-30,$10
2022-06-30,$-4
2022-03-31,$-27
2021-12-31,$-73
2021-09-30,$-45
2021-06-30,$-29
2021-03-31,$-25
2020-12-31,$-29
2020-09-30,$-10
2020-06-30,
2020-03-31,$40
2019-12-31,$13
2019-09-30,$-14
2019-06-30,$-15
2019-03-31,$6
2018-12-31,$-10
2018-09-30,$-38
2018-06-30,$-27
2018-03-31,$-20
2017-06-30,$-16
2017-03-31,$-3
2016-12-31,$-39
2016-09-30,$-8
2016-06-30,$13
2016-03-31,$29
2015-12-31,$30
2015-09-30,$26
2015-06-30,$31
2015-03-31,$28
2014-12-31,
2014-09-30,$0
2014-06-30,$-17
2014-03-31,
2013-12-31,
2013-09-30,
2013-06-30,$-32
2013-03-31,$-32
2012-12-31,$-33
2012-09-30,$-23
2012-06-30,$-8
2012-03-31,$-9
2011-12-31,$-18
2011-09-30,$-38
2011-06-30,$-10
2011-03-31,$-7
2010-12-31,$-13
2010-09-30,$-5
2010-06-30,$8
2010-03-31,$10
2009-12-31,
2009-09-30,$-12
2009-06-30,
2009-03-31,$17
