Gran Tierra Energy Quarterly Net Income (Millions of US $),Gran Tierra Energy Quarterly Net Income (Millions of US $).1
2024-12-31,$-34
2024-09-30,$1
2024-06-30,$36
2024-03-31,$-0
2023-12-31,$8
2023-09-30,$7
2023-06-30,$-11
2023-03-31,$-10
2022-12-31,$33
2022-09-30,$39
2022-06-30,$53
2022-03-31,$14
2021-12-31,$63
2021-09-30,$35
2021-06-30,$-18
2021-03-31,$-37
2020-12-31,$-48
2020-09-30,$-108
2020-06-30,$-371
2020-03-31,$-252
2019-12-31,$27
2019-09-30,$-29
2019-06-30,$39
2019-03-31,$2
2018-12-31,$-11
2018-09-30,$75
2018-06-30,$20
2018-03-31,$18
2017-12-31,$-41
2017-09-30,$3
2017-06-30,$-7
2017-03-31,$13
2016-12-31,$-127
2016-09-30,$-230
2016-06-30,$-64
2016-03-31,$-45
2015-12-31,$-83
2015-09-30,$-102
2015-06-30,$-39
2015-03-31,$-45
2014-12-31,$-270
2014-09-30,$44
2014-06-30,$9
2014-03-31,$45
2013-12-31,$-12
2013-09-30,$33
2013-06-30,$48
2013-03-31,$58
2012-12-31,$42
2012-09-30,$45
2012-06-30,$13
2012-03-31,$-0
2011-12-31,$33
2011-09-30,$49
2011-06-30,$32
2011-03-31,$14
2010-12-31,$13
2010-09-30,$-3
2010-06-30,$17
2010-03-31,$10
2009-12-31,$31
2009-09-30,$-3
2009-06-30,$-28
2009-03-31,$14
