Radius Recycling Quarterly Net Income (Millions of US $),Radius Recycling Quarterly Net Income (Millions of US $).1
2024-11-30,$-37
2024-08-31,$-16
2024-05-31,$-198
2024-02-29,$-34
2023-11-30,$-18
2023-08-31,$-26
2023-05-31,$13
2023-02-28,$4
2022-11-30,$-18
2022-08-31,$10
2022-05-31,$75
2022-02-28,$38
2021-11-30,$46
2021-08-31,$43
2021-05-31,$64
2021-02-28,$45
2020-11-30,$14
2020-08-31,$4
2020-05-31,$-5
2020-02-29,$4
2019-11-30,$-7
2019-08-31,$12
2019-05-31,$16
2019-02-28,$13
2018-11-30,$16
2018-08-31,$60
2018-05-31,$37
2018-02-28,$41
2017-11-30,$18
2017-08-31,$18
2017-05-31,$17
2017-02-28,$11
2016-11-30,$-1
2016-08-31,$16
2016-05-31,$11
2016-02-29,$-41
2015-11-30,$-5
2015-08-31,$11
2015-05-31,$-10
2015-02-28,$-196
2014-11-30,$-2
2014-08-31,$7
2014-05-31,$3
2014-02-28,$2
2013-11-30,$-6
2013-08-31,$-289
2013-05-31,$1
2013-02-28,$9
2012-11-30,$-2
2012-08-31,$-0
2012-05-31,$11
2012-02-29,$10
2011-11-30,$7
2011-08-31,$37
2011-05-31,$33
2011-02-28,$31
2010-11-30,$18
2010-08-31,$17
2010-05-31,$40
2010-02-28,$17
2009-11-30,$-9
2009-08-31,$10
2009-05-31,$-2
2009-02-28,$-7
