Akebia Therapeutics Quarterly Net Income (Millions of US $),Akebia Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-23
2024-09-30,$-20
2024-06-30,$-9
2024-03-31,$-18
2023-12-31,$1
2023-09-30,$-14
2023-06-30,$-11
2023-03-31,$-27
2022-12-31,$-7
2022-09-30,$-54
2022-06-30,$29
2022-03-31,$-62
2021-12-31,$-70
2021-09-30,$-60
2021-06-30,$-83
2021-03-31,$-70
2020-12-31,$-88
2020-09-30,$-60
2020-06-30,$-176
2020-03-31,$-61
2019-12-31,$-94
2019-09-30,$-55
2019-06-30,$-58
2019-03-31,$-72
2018-12-31,$-60
2018-09-30,$-26
2018-06-30,$-34
2018-03-31,$-23
2017-12-31,$16
2017-09-30,$-23
2017-06-30,$-22
2017-03-31,$-45
2016-12-31,$-38
2016-09-30,$-36
2016-06-30,$-36
2016-03-31,$-26
2015-12-31,$-20
2015-09-30,$-19
2015-06-30,$-11
2015-03-31,$-11
2014-12-31,$-10
2014-09-30,$-9
2014-06-30,$-8
2014-03-31,$-97
2013-12-31,$-6
2013-09-30,$-7
2013-06-30,$-52
2013-03-31,$-1
2012-12-31,
