Hyliion Holdings Quarterly Net Income (Millions of US $),Hyliion Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-14
2024-09-30,$-11
2024-06-30,$-11
2024-03-31,$-16
2023-12-31,$-29
2023-09-30,$-30
2023-06-30,$-35
2023-03-31,$-29
2022-12-31,$-29
2022-09-30,$-63
2022-06-30,$-33
2022-03-31,$-27
2021-12-31,$-30
2021-09-30,$-27
2021-06-30,$-23
2021-03-31,$-17
2020-12-31,$343
2020-09-30,$-9
2020-06-30,$-4
2020-03-31,$-6
2019-12-31,$-16
2019-09-30,$1
2019-06-30,$1
2019-03-31,$0
2018-12-31,
