Revance Therapeutics Quarterly Net Income (Millions of US $),Revance Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$-38
2024-06-30,$-37
2024-03-31,$-53
2023-12-31,$-56
2023-09-30,$-141
2023-06-30,$-67
2023-03-31,$-60
2022-12-31,$-146
2022-09-30,$-85
2022-06-30,$-61
2022-03-31,$-64
2021-12-31,$-63
2021-09-30,$-74
2021-06-30,$-72
2021-03-31,$-72
2020-12-31,$-78
2020-09-30,$-81
2020-06-30,$-61
2020-03-31,$-62
2019-12-31,$-45
2019-09-30,$-41
2019-06-30,$-37
2019-03-31,$-35
2018-12-31,$-41
2018-09-30,$-33
2018-06-30,$-34
2018-03-31,$-35
2017-12-31,$-36
2017-09-30,$-31
2017-06-30,$-27
2017-03-31,$-27
2016-12-31,$-27
2016-09-30,$-18
2016-06-30,$-25
2016-03-31,$-20
2015-12-31,$-22
2015-09-30,$-19
2015-06-30,$-17
2015-03-31,$-15
2014-12-31,$-14
2014-09-30,$-14
2014-06-30,$-13
2014-03-31,$-21
2013-12-31,$-14
2013-09-30,$-13
2013-06-30,$-16
2013-03-31,$5
2012-12-31,
2011-12-31,
