Solid Biosciences Quarterly Net Income (Millions of US $),Solid Biosciences Quarterly Net Income (Millions of US $).1
2024-12-31,$-43
2024-09-30,$-33
2024-06-30,$-25
2024-03-31,$-24
2023-12-31,$-20
2023-09-30,$-21
2023-06-30,$-25
2023-03-31,$-30
2022-12-31,$-15
2022-09-30,$-20
2022-06-30,$-25
2022-03-31,$-25
2021-12-31,$-19
2021-09-30,$-18
2021-06-30,$-19
2021-03-31,$-17
2020-12-31,$-21
2020-09-30,$-21
2020-06-30,$-19
2020-03-31,$-27
2019-12-31,$-32
2019-09-30,$-29
2019-06-30,$-27
2019-03-31,$-30
2018-12-31,$-22
2018-09-30,$-19
2018-06-30,$-18
2018-03-31,$-16
2017-12-31,$-14
2017-09-30,$-14
2017-06-30,$-11
2017-03-31,$-0
2016-12-31,
2015-12-31,
