Puma Biotechnology Quarterly Net Income (Millions of US $),Puma Biotechnology Quarterly Net Income (Millions of US $).1
2024-12-31,$19
2024-09-30,$20
2024-06-30,$-5
2024-03-31,$-5
2023-12-31,$12
2023-09-30,$6
2023-06-30,$2
2023-03-31,$1
2022-12-31,$-6
2022-09-30,$-0
2022-06-30,$9
2022-03-31,$-3
2021-12-31,$4
2021-09-30,$-45
2021-06-30,$-5
2021-03-31,$17
2020-12-31,$-15
2020-09-30,$-31
2020-06-30,$3
2020-03-31,$-17
2019-12-31,$-11
2019-09-30,$-17
2019-06-30,$-37
2019-03-31,$-10
2018-12-31,$-31
2018-09-30,$-14
2018-06-30,$-44
2018-03-31,$-24
2017-12-31,$-64
2017-09-30,$-77
2017-06-30,$-78
2017-03-31,$-73
2016-12-31,$-73
2016-09-30,$-66
2016-06-30,$-67
2016-03-31,$-71
2015-12-31,$-62
2015-09-30,$-60
2015-06-30,$-65
2015-03-31,$-52
2014-12-31,$-47
2014-09-30,$-36
2014-06-30,$-39
2014-03-31,$-20
2013-12-31,$-16
2013-09-30,$-14
2013-06-30,$-13
2013-03-31,$-12
2012-12-31,$-22
2012-09-30,$-26
2012-06-30,$-15
2012-03-31,$-12
2011-12-31,$-10
2011-09-30,$-0
2011-06-30,$-0
2011-03-31,$-0
2010-12-31,$0
2010-09-30,$-0
2010-06-30,$-0
2010-03-31,$-0
2009-12-31,$-0
2009-09-30,$-0
2009-06-30,$-0
2009-03-31,$-0
