Global Ship Lease Quarterly Net Income (Millions of US $),Global Ship Lease Quarterly Net Income (Millions of US $).1
2024-12-31,$90
2024-09-30,$79
2024-06-30,$86
2024-03-31,$90
2023-12-31,$65
2023-09-30,$83
2023-06-30,$75
2023-03-31,$72
2022-12-31,$73
2022-09-30,$90
2022-06-30,$53
2022-03-31,$68
2021-12-31,$66
2021-09-30,$63
2021-06-30,$30
2021-03-31,$4
2020-12-31,$-5
2020-09-30,$14
2020-06-30,$13
2020-03-31,$1
2019-12-31,$-11
2019-09-30,$11
2019-06-30,$8
2019-03-31,$10
2018-12-31,$-73
2018-09-30,$4
2018-06-30,$4
2018-03-31,$4
2017-12-31,$-100
2017-09-30,$9
2017-06-30,$7
2017-03-31,$7
2016-12-31,$-55
2016-09-30,$-24
2016-06-30,$6
2016-03-31,$5
2015-12-31,$6
2015-09-30,$-41
2015-06-30,$3
2015-03-31,$0
2014-12-31,$-1
2014-09-30,$6
2014-06-30,$-2
2014-03-31,$2
2013-12-31,$8
2013-09-30,$7
2013-06-30,$10
2013-03-31,$7
2012-12-31,$8
2012-09-30,$8
2012-06-30,$8
2012-03-31,$8
2011-12-31,$11
2011-09-30,$-1
2011-06-30,$-12
2011-03-31,$11
2010-12-31,$1
2010-09-30,$-4
2010-06-30,$-5
2010-03-31,$3
2009-12-31,$12
2009-09-30,$-4
2009-06-30,$23
2009-03-31,$11
