Clear Channel Outdoor Holdings Quarterly Net Income (Millions of US $),Clear Channel Outdoor Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-18
2024-09-30,$-33
2024-06-30,$-39
2024-03-31,$-90
2023-12-31,$25
2023-09-30,$-263
2023-06-30,$-37
2023-03-31,$-35
2022-12-31,$99
2022-09-30,$-40
2022-06-30,$-66
2022-03-31,$-90
2021-12-31,$64
2021-09-30,$-41
2021-06-30,$-125
2021-03-31,$-332
2020-12-31,$-32
2020-09-30,$-136
2020-06-30,$-137
2020-03-31,$-277
2019-12-31,$27
2019-09-30,$-215
2019-06-30,$-11
2019-03-31,$-164
2018-12-31,$26
2018-09-30,$-65
2018-06-30,$-50
2018-03-31,$-128
2017-12-31,$-544
2017-09-30,$-64
2017-06-30,$-7
2017-03-31,$-29
2016-12-31,$95
2016-09-30,$-31
2016-06-30,$-69
2016-03-31,$140
2015-12-31,$-41
2015-09-30,$-23
2015-06-30,$1
2015-03-31,$-34
2014-12-31,$43
2014-09-30,$-7
2014-06-30,$51
2014-03-31,$-97
2013-12-31,$10
2013-09-30,$4
2013-06-30,$9
2013-03-31,$-74
2012-12-31,$-157
2012-09-30,$17
2012-06-30,$-8
2012-03-31,$-44
2011-12-31,$20
2011-09-30,$3
2011-06-30,$27
2011-03-31,$-10
2010-12-31,$-2
2010-09-30,$-35
2010-06-30,$-9
2010-03-31,$-48
2009-12-31,$-57
2009-09-30,$-34
2009-06-30,$-689
2009-03-31,$-88
