IGM Biosciences Quarterly Net Income (Millions of US $),IGM Biosciences Quarterly Net Income (Millions of US $).1
2024-12-31,$-37
2024-09-30,$-61
2024-06-30,$-48
2024-03-31,$-50
2023-12-31,$-61
2023-09-30,$-62
2023-06-30,$-64
2023-03-31,$-59
2022-12-31,$-53
2022-09-30,$-58
2022-06-30,$-59
2022-03-31,$-52
2021-12-31,$-51
2021-09-30,$-44
2021-06-30,$-39
2021-03-31,$-32
2020-12-31,$-25
2020-09-30,$-20
2020-06-30,$-19
2020-03-31,$-18
2019-12-31,$-15
2019-09-30,$-10
2019-06-30,$-11
2019-03-31,$-7
2018-12-31,
2018-09-30,$-7
2017-12-31,
