SLR Investment Quarterly Net Income (Millions of US $),SLR Investment Quarterly Net Income (Millions of US $).1
2024-12-31,$23
2024-09-30,$22
2024-06-30,$23
2024-03-31,$28
2023-12-31,$24
2023-09-30,$27
2023-06-30,$19
2023-03-31,$7
2022-12-31,$7
2022-09-30,$14
2022-06-30,$-16
2022-03-31,$13
2021-12-31,$6
2021-09-30,$13
2021-06-30,$19
2021-03-31,$22
2020-12-31,$18
2020-09-30,$19
2020-06-30,$54
2020-03-31,$-75
2019-12-31,$-2
2019-09-30,$14
2019-06-30,$20
2019-03-31,$25
2018-12-31,$9
2018-09-30,$18
2018-06-30,$20
2018-03-31,$20
2017-12-31,$17
2017-09-30,$17
2017-06-30,$19
2017-03-31,$17
2016-12-31,$18
2016-09-30,$26
2016-06-30,$35
2016-03-31,$28
2015-12-31,$-14
2015-09-30,$0
2015-06-30,$17
2015-03-31,$11
2014-12-31,$5
2014-09-30,$13
2014-06-30,$17
2014-03-31,$14
2013-12-31,$29
2013-09-30,$11
2013-06-30,$-0
2013-03-31,$36
2012-12-31,$23
2012-09-30,$30
2012-06-30,$16
2012-03-31,$46
2011-12-31,$52
2011-09-30,$-52
2011-06-30,$12
2011-03-31,$49
2010-12-31,$42
2010-09-30,$21
2010-06-30,$17
2010-03-31,$62
2009-12-31,$40
2009-09-30,$39
2009-06-30,$34
2009-03-31,$-26
