Bluebird Bio Quarterly Net Income (Millions of US $),Bluebird Bio Quarterly Net Income (Millions of US $).1
2024-09-30,$-61
2024-06-30,$-81
2024-03-31,$-70
2023-12-31,$-81
2023-09-30,$-87
2023-06-30,$-63
2023-03-31,$19
2022-12-31,$68
2022-09-30,$-77
2022-06-30,$-100
2022-03-31,$-122
2021-12-31,$-155
2021-09-30,$-217
2021-06-30,$-242
2021-03-31,$-206
2020-12-31,$-200
2020-09-30,$-195
2020-06-30,$-21
2020-03-31,$-203
2019-12-31,$-223
2019-09-30,$-206
2019-06-30,$-196
2019-03-31,$-164
2018-12-31,$-149
2018-09-30,$-145
2018-06-30,$-146
2018-03-31,$-115
2017-12-31,$-117
2017-09-30,$-79
2017-06-30,$-71
2017-03-31,$-69
2016-12-31,$-71
2016-09-30,$-77
2016-06-30,$-59
2016-03-31,$-56
2015-12-31,$-47
2015-09-30,$-43
2015-06-30,$-52
2015-03-31,$-25
2014-12-31,$-20
2014-09-30,$-17
2014-06-30,$-2
2014-03-31,$-11
2013-12-31,$-8
2013-09-30,$-6
2013-06-30,$-5
2013-03-31,$-7
2012-12-31,
2012-09-30,$0
2012-06-30,$-6
2011-12-31,
