Enviri Quarterly Net Income (Millions of US $),Enviri Quarterly Net Income (Millions of US $).1
2024-12-31,$-83
2024-09-30,$-13
2024-06-30,$-14
2024-03-31,$-18
2023-12-31,$-54
2023-09-30,$-11
2023-06-30,$-11
2023-03-31,$-10
2022-12-31,$-37
2022-09-30,$2
2022-06-30,$-106
2022-03-31,$-40
2021-12-31,$-24
2021-09-30,$8
2021-06-30,$13
2021-03-31,$0
2020-12-31,$-6
2020-09-30,$-10
2020-06-30,$-11
2020-03-31,$0
2019-12-31,$39
2019-09-30,$435
2019-06-30,$9
2019-03-31,$21
2018-12-31,$46
2018-09-30,$33
2018-06-30,$40
2018-03-31,$18
2017-12-31,$-33
2017-09-30,$13
2017-06-30,$19
2017-03-31,$9
2016-12-31,$-16
2016-09-30,$-33
2016-06-30,$-26
2016-03-31,$-11
2015-12-31,$-7
2015-09-30,$-9
2015-06-30,$7
2015-03-31,$15
2014-12-31,$-44
2014-09-30,$25
2014-06-30,$-13
2014-03-31,$10
2013-12-31,$-30
2013-09-30,$-234
2013-06-30,$24
2013-03-31,$7
2012-12-31,$-264
2012-09-30,$26
2012-06-30,$13
2012-03-31,$-29
2011-12-31,$-92
2011-09-30,$32
2011-06-30,$38
2011-03-31,$11
2010-12-31,$-51
2010-09-30,$20
2010-06-30,$30
2010-03-31,$8
2009-12-31,$39
2009-09-30,$20
2009-06-30,$41
2009-03-31,$19
