PRA Quarterly Net Income (Millions of US $),PRA Quarterly Net Income (Millions of US $).1
2024-12-31,$18
2024-09-30,$27
2024-06-30,$22
2024-03-31,$3
2023-12-31,$-9
2023-09-30,$-12
2023-06-30,$-4
2023-03-31,$-59
2022-12-31,$16
2022-09-30,$25
2022-06-30,$36
2022-03-31,$40
2021-12-31,$34
2021-09-30,$34
2021-06-30,$56
2021-03-31,$58
2020-12-31,$30
2020-09-30,$42
2020-06-30,$58
2020-03-31,$19
2019-12-31,$27
2019-09-30,$25
2019-06-30,$19
2019-03-31,$15
2018-12-31,$15
2018-09-30,$10
2018-06-30,$20
2018-03-31,$21
2017-12-31,$89
2017-09-30,$16
2017-06-30,$12
2017-03-31,$48
2016-12-31,$-16
2016-09-30,$34
2016-06-30,$36
2016-03-31,$32
2015-12-31,$41
2015-09-30,$17
2015-06-30,$51
2015-03-31,$58
2014-12-31,$47
2014-09-30,$51
2014-06-30,$38
2014-03-31,$41
2013-12-31,$46
2013-09-30,$47
2013-06-30,$44
2013-03-31,$39
2012-12-31,$36
2012-09-30,$33
2012-06-30,$32
2012-03-31,$25
2011-12-31,$27
2011-09-30,$26
2011-06-30,$26
2011-03-31,$23
2010-12-31,$21
2010-09-30,$18
2010-06-30,$20
2010-03-31,$15
2009-12-31,$12
2009-09-30,$10
2009-06-30,$12
2009-03-31,$10
