BioXcel Therapeutics Quarterly Net Income (Millions of US $),BioXcel Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$-14
2024-06-30,$-8
2024-03-31,$-27
2023-12-31,$-22
2023-09-30,$-50
2023-06-30,$-54
2023-03-31,$-53
2022-12-31,$-55
2022-09-30,$-42
2022-06-30,$-38
2022-03-31,$-31
2021-12-31,$-26
2021-09-30,$-27
2021-06-30,$-28
2021-03-31,$-26
2020-12-31,$-21
2020-09-30,$-25
2020-06-30,$-21
2020-03-31,$-15
2019-12-31,$-8
2019-09-30,$-9
2019-06-30,$-8
2019-03-31,$-7
2018-12-31,$-7
2018-09-30,$-5
2018-06-30,$-3
2018-03-31,$-4
2017-12-31,$-3
2017-09-30,$-1
2017-06-30,$-1
2017-03-31,$-1
2016-12-31,
