China Yuchai Quarterly Net Income (Millions of US $),China Yuchai Quarterly Net Income (Millions of US $).1
2020-06-30,$35
2020-03-31,$9
2019-12-31,$30
2019-09-30,$7
2019-06-30,$21
2019-03-31,$28
2018-12-31,$30
2018-09-30,$18
2018-06-30,$19
2018-03-31,$36
2017-12-31,$68
2017-09-30,$23
2017-06-30,$20
2017-03-31,$40
2016-12-31,$32
2016-09-30,$12
2016-06-30,$19
2016-03-31,$13
2015-12-31,$8
2015-09-30,$0
2015-06-30,$27
2015-03-31,$17
2014-12-31,$40
2014-09-30,$23
2014-06-30,$27
2014-03-31,$29
2013-12-31,$42
2013-09-30,$17
2013-06-30,$27
2013-03-31,$28
2012-12-31,$35
2012-09-30,$18
2012-06-30,$11
2012-03-31,$27
2011-12-31,$59
2011-09-30,$10
2011-06-30,$25
2011-03-31,$37
2010-12-31,$70
2010-09-30,$34
2010-06-30,$28
2010-03-31,$41
2009-12-31,$14
2009-09-30,$36
2009-06-30,$7
2009-03-31,$34
