Cheetah Mobile Quarterly Net Income (Millions of US $),Cheetah Mobile Quarterly Net Income (Millions of US $).1
2024-09-30,$-7
2024-06-30,$-17
2024-03-31,$-11
2023-06-30,
2021-12-31,$-59
2021-09-30,$-8
2021-06-30,$0
2021-03-31,$12
2020-12-31,$13
2020-09-30,$38
2020-06-30,$27
2020-03-31,$-15
2019-12-31,$-116
2019-09-30,$63
2019-06-30,$7
2019-03-31,$1
2018-12-31,$105
2018-09-30,$24
2018-06-30,$30
2018-03-31,$11
2017-12-31,$163
2017-09-30,$21
2017-06-30,$10
2017-03-31,$13
2016-12-31,$9
2016-09-30,$0
2016-06-30,$-23
2016-03-31,$2
2015-12-31,$9
2015-09-30,$5
2015-06-30,$10
2015-03-31,$5
2014-12-31,$5
2014-09-30,$1
2014-06-30,$2
2014-03-31,$3
2013-12-31,$4
2013-09-30,$1
2013-06-30,$0
2013-03-31,$5
