Stoke Therapeutics Quarterly Net Income (Millions of US $),Stoke Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-10
2024-09-30,$-26
2024-06-30,$-26
2024-03-31,$-26
2023-12-31,$-27
2023-09-30,$-25
2023-06-30,$-31
2023-03-31,$-23
2022-12-31,$-26
2022-09-30,$-26
2022-06-30,$-25
2022-03-31,$-25
2021-12-31,$-24
2021-09-30,$-23
2021-06-30,$-22
2021-03-31,$-17
2020-12-31,$-15
2020-09-30,$-14
2020-06-30,$-13
2020-03-31,$-11
2019-12-31,$-10
2019-09-30,$-9
2019-06-30,$-8
2019-03-31,$-6
2018-12-31,
2018-09-30,$-3
2018-06-30,$-3
