Gossamer Bio Quarterly Net Income (Millions of US $),Gossamer Bio Quarterly Net Income (Millions of US $).1
2024-12-31,$-33
2024-09-30,$-31
2024-06-30,$49
2024-03-31,$-42
2023-12-31,$-48
2023-09-30,$-40
2023-06-30,$-42
2023-03-31,$-49
2022-12-31,$-56
2022-09-30,$-59
2022-06-30,$-56
2022-03-31,$-58
2021-12-31,$-56
2021-09-30,$-60
2021-06-30,$-60
2021-03-31,$-58
2020-12-31,$-65
2020-09-30,$-58
2020-06-30,$-67
2020-03-31,$-54
2019-12-31,$-55
2019-09-30,$-49
2019-06-30,$-44
2019-03-31,$-33
2018-12-31,$-39
2018-09-30,$-49
2018-06-30,$-33
2018-03-31,$-26
2017-12-31,
2016-12-31,
