X4 Pharmaceuticals Quarterly Net Income (Millions of US $),X4 Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-09-30,$-37
2024-06-30,$91
2024-03-31,$-52
2023-12-31,$-19
2023-09-30,$-2
2023-06-30,$-56
2023-03-31,$-24
2022-12-31,$-29
2022-09-30,$-22
2022-06-30,$-21
2022-03-31,$-24
2021-12-31,$-36
2021-09-30,$-20
2021-06-30,$-20
2021-03-31,$-27
2020-12-31,$-18
2020-09-30,$-17
2020-06-30,$-15
2020-03-31,$-11
2019-12-31,$-11
2019-09-30,$-18
2019-06-30,$-13
2019-03-31,$-11
2018-12-31,$-12
2018-09-30,$-9
2018-06-30,$-7
2018-03-31,$-8
2017-12-31,$-11
2017-09-30,$-12
2017-06-30,$-6
2017-03-31,$-5
2016-12-31,
2015-12-31,
