Aclaris Therapeutics Quarterly Net Income (Millions of US $),Aclaris Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-97
2024-09-30,$-8
2024-06-30,$-11
2024-03-31,$-17
2023-12-31,$-1
2023-09-30,$-29
2023-06-30,$-30
2023-03-31,$-28
2022-12-31,$-28
2022-09-30,$-20
2022-06-30,$-21
2022-03-31,$-19
2021-12-31,$-23
2021-09-30,$-21
2021-06-30,$-18
2021-03-31,$-29
2020-12-31,$-13
2020-09-30,$-11
2020-06-30,$-12
2020-03-31,$-16
2019-12-31,$-19
2019-09-30,$-55
2019-06-30,$-50
2019-03-31,$-38
2018-12-31,$-39
2018-09-30,$-33
2018-06-30,$-31
2018-03-31,$-30
2017-12-31,$-23
2017-09-30,$-18
2017-06-30,$-15
2017-03-31,$-13
2016-12-31,$-11
2016-09-30,$-11
2016-06-30,$-13
2016-03-31,$-13
2015-12-31,$-5
2015-09-30,$-12
2015-06-30,$-3
2015-03-31,$-3
2014-12-31,
2014-09-30,$-3
2013-12-31,
