Seres Therapeutics Quarterly Net Income (Millions of US $),Seres Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$89
2024-06-30,$-33
2024-03-31,$-40
2023-12-31,$-41
2023-09-30,$-48
2023-06-30,$47
2023-03-31,$-71
2022-12-31,$-69
2022-09-30,$-60
2022-06-30,$-65
2022-03-31,$-57
2021-12-31,$-50
2021-09-30,$68
2021-06-30,$-48
2021-03-31,$-35
2020-12-31,$-18
2020-09-30,$-30
2020-06-30,$-21
2020-03-31,$-20
2019-12-31,$-19
2019-09-30,$-16
2019-06-30,$-11
2019-03-31,$-24
2018-12-31,$-21
2018-09-30,$-22
2018-06-30,$-28
2018-03-31,$-28
2017-12-31,$-29
2017-09-30,$-7
2017-06-30,$-28
2017-03-31,$-25
2016-12-31,$-25
2016-09-30,$-19
2016-06-30,$-28
2016-03-31,$-20
2015-12-31,$-20
2015-09-30,$-15
2015-06-30,$-13
2015-03-31,$-8
2014-12-31,$-8
2014-09-30,$-5
2014-06-30,$-3
2014-03-31,$-2
2013-12-31,
2012-12-31,
