Precision Drilling Quarterly Net Income (Millions of US $),Precision Drilling Quarterly Net Income (Millions of US $).1
2024-12-31,$10
2024-09-30,$29
2024-06-30,$15
2024-03-31,$27
2023-12-31,$109
2023-09-30,$15
2023-06-30,$20
2023-03-31,$71
2022-12-31,$4
2022-09-30,$24
2022-06-30,$-19
2022-03-31,$-35
2021-12-31,$-21
2021-09-30,$-30
2021-06-30,$-62
2021-03-31,$-29
2020-12-31,$-29
2020-09-30,$-21
2020-06-30,$-35
2020-03-31,$-4
2019-12-31,$-1
2019-09-30,$-3
2019-06-30,$-10
2019-03-31,$19
2018-12-31,$-153
2018-09-30,$-23
2018-06-30,$-37
2018-03-31,$-14
2017-12-31,$-37
2017-09-30,$-21
2017-06-30,$-27
2017-03-31,$-17
2016-12-31,$-22
2016-09-30,$-36
2016-06-30,$-45
2016-03-31,$-14
2015-12-31,$-203
2015-09-30,$-66
2015-06-30,$-24
2015-03-31,$20
2014-12-31,$-90
2014-09-30,$47
2014-06-30,$-7
2014-03-31,$92
2013-12-31,$62
2013-09-30,$28
2013-06-30,$0
2013-03-31,$91
2012-12-31,$-116
2012-09-30,$40
2012-06-30,$18
2012-03-31,$147
2011-12-31,$28
2011-09-30,$82
2011-06-30,$17
2011-03-31,$69
2010-12-31,$6
2010-09-30,$59
2010-06-30,$-64
2010-03-31,$62
2009-12-31,$-24
2009-09-30,$68
2009-06-30,$52
2009-03-31,$46
