OptiNose Quarterly Net Income (Millions of US $),OptiNose Quarterly Net Income (Millions of US $).1
2024-09-30,$0
2024-06-30,$-8
2024-03-31,$-14
2023-12-31,$-10
2023-09-30,$-9
2023-06-30,$3
2023-03-31,$-19
2022-12-31,$-15
2022-09-30,$-15
2022-06-30,$-19
2022-03-31,$-25
2021-12-31,$-16
2021-09-30,$-17
2021-06-30,$-24
2021-03-31,$-26
2020-12-31,$-24
2020-09-30,$-21
2020-06-30,$-26
2020-03-31,$-29
2019-12-31,$-25
2019-09-30,$-29
2019-06-30,$-27
2019-03-31,$-29
2018-12-31,$-26
2018-09-30,$-25
2018-06-30,$-25
2018-03-31,$-31
2017-12-31,$-20
2017-09-30,$-17
2017-06-30,$-13
2017-03-31,$-12
2016-12-31,
2016-09-30,$-9
2015-12-31,
