Safe Bulkers Quarterly Net Income (Millions of US $),Safe Bulkers Quarterly Net Income (Millions of US $).1
2024-12-31,$17
2024-09-30,$23
2024-06-30,$26
2024-03-31,$23
2023-12-31,$26
2023-09-30,$13
2023-06-30,$13
2023-03-31,$17
2022-12-31,$33
2022-09-30,$49
2022-06-30,$48
2022-03-31,$34
2021-12-31,$62
2021-09-30,
2021-06-30,$30
2021-03-31,$19
2020-12-31,$4
2020-09-30,$0
2020-06-30,$-17
2020-03-31,$-13
2019-12-31,$1
2019-09-30,$2
2019-06-30,$-1
2019-03-31,$3
2018-12-31,$7
2018-09-30,$5
2018-06-30,$1
2018-03-31,$3
2017-12-31,$-90
2017-09-30,$4
2017-06-30,$-7
2017-03-31,$-7
2016-12-31,$-8
2016-09-30,$-28
2016-06-30,$-13
2016-03-31,$-21
2015-12-31,$-33
2015-09-30,$-11
2015-06-30,$-8
2015-03-31,$-10
2014-12-31,$-4
2014-09-30,$-2
2014-06-30,$1
2014-03-31,$10
2013-12-31,$30
2013-09-30,$11
2013-06-30,$24
2013-03-31,$16
2012-12-31,$32
2012-09-30,$21
2012-06-30,$22
2012-03-31,$22
2011-12-31,$24
2011-09-30,$20
2011-06-30,$19
2011-03-31,$27
2010-12-31,$31
2010-09-30,$22
2010-06-30,$24
2010-03-31,$32
2009-12-31,$23
2009-09-30,$22
2009-06-30,$58
2009-03-31,$62
