Rapt Therapeutics Quarterly Net Income (Millions of US $),Rapt Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-53
2024-09-30,$-18
2024-06-30,$-28
2024-03-31,$-31
2023-12-31,$-31
2023-09-30,$-31
2023-06-30,$-25
2023-03-31,$-29
2022-12-31,$-23
2022-09-30,$-21
2022-06-30,$-19
2022-03-31,$-20
2021-12-31,$-18
2021-09-30,$-19
2021-06-30,$-16
2021-03-31,$-17
2020-12-31,$-13
2020-09-30,$-15
2020-06-30,$-12
2020-03-31,$-13
2019-12-31,$-13
2019-09-30,$-10
2019-06-30,$-11
2019-03-31,$-9
2018-12-31,
2018-09-30,$-10
2017-12-31,
