Marcus Quarterly Net Income (Millions of US $),Marcus Quarterly Net Income (Millions of US $).1
2024-12-31,$1
2024-09-30,$23
2024-06-30,$-20
2024-03-31,$-12
2023-12-31,$-1
2023-09-30,$12
2023-06-30,$13
2023-03-31,$-9
2022-12-31,$-9
2022-09-30,$3
2022-06-30,$9
2022-03-31,$-15
2021-12-31,$6
2021-09-30,$2
2021-06-30,$-23
2021-03-31,$-28
2020-12-31,$-39
2020-09-30,$-39
2020-06-30,$-27
2020-03-31,$-19
2019-12-31,$8
2019-09-30,$14
2019-06-30,$18
2019-03-31,$2
2018-12-31,$9
2018-09-30,$16
2018-06-30,$19
2018-03-31,$10
2017-12-31,$34
2017-09-30,$11
2017-06-30,$10
2017-03-31,$9
2016-12-31,$9
2016-09-30,$14
2016-06-30,$9
2016-03-31,$5
2015-12-31,
2015-11-30,$5
2015-09-30,$11
2015-08-31,$15
2015-06-30,$9
2015-05-31,
2015-03-31,$3
2015-02-28,$3
2014-11-30,$5
2014-08-31,$12
2014-05-31,
2014-02-28,$4
2013-11-30,$3
2013-08-31,$13
2013-05-31,
2013-02-28,$-1
2012-11-30,$5
2012-08-31,$11
2012-05-31,
2012-02-29,$1
2011-11-30,$3
2011-08-31,$12
2011-05-31,
2011-02-28,$-2
2010-11-30,$2
2010-08-31,$10
2010-05-31,
2010-02-28,$3
2009-11-30,$-0
2009-08-31,$10
2009-05-31,
2009-02-28,$2
